日期,收付手段,金额,收付类型,类型明细,备注,yyyymm
2020/1/31 00:00,账务处理,776.37,其他收入,父母资助,平账,202001
2020/1/31 00:00,账务处理,100,生活必要开支,伙食费,平账,202001
2020/1/31 00:00,账务处理,20,生活必要开支,其他必要家用,平账,202001
2020/1/31 00:00,账务处理,2505.51,文娱游购开支,饮食游乐费,去成都花销,202001
2020/1/31 00:00,账务处理,712.54,文娱游购开支,日常购物费,平账,202001
2020/1/31 00:00,账务处理,299.2152494,财务费用开支,金融利息支出,平账,202001
2020/1/31 00:00,账务处理,447.45,其他必要开支,人情费,平账,202001
2020/1/31 00:00,账务处理,88,投资自身开支,教育费,平账,202001
2020/1/31 00:00,账务处理,2000,其他收入,父母资助,平账,202001
2020/1/31 00:00,账务处理,1200,生活必要开支,伙食费,平账,202001
2020/1/31 00:00,账务处理,417,生活必要开支,其他必要家用,平账,202001
2020/1/31 00:00,账务处理,3690.04,文娱游购开支,饮食游乐费,去成都花销,202001
2020/1/31 00:00,账务处理,357.52,文娱游购开支,日常购物费,平账,202001
2020/1/31 00:00,账务处理,299.2152494,财务费用开支,金融利息支出,平账,202001
2020/1/31 00:00,账务处理,87.97,其他必要开支,人情费,平账,202001
2020/1/31 00:00,账务处理,160,投资自身开支,教育费,平账,202001
2020/1/31 00:00,账务处理,720,工作收入,兼职收入,家教收入,202001
2020/2/28 00:00,账务处理,0,其他收入,父母资助,平账,202002
2020/2/28 00:00,账务处理,95.2,生活必要开支,伙食费,平账,202002
2020/2/28 00:00,账务处理,50,生活必要开支,其他必要家用,平账,202002
2020/2/28 00:00,账务处理,459.71,文娱游购开支,饮食游乐费,平账,202002
2020/2/28 00:00,账务处理,370,文娱游购开支,日常购物费,平账,202002
2020/2/28 00:00,账务处理,336.3208606,财务费用开支,金融利息支出,平账,202002
2020/2/28 00:00,账务处理,120,其他必要开支,人情费,平账,202002
2020/3/31 00:00,账务处理,2016.28,其他收入,父母资助,平账,202003
2020/3/31 00:00,账务处理,0,生活必要开支,伙食费,平账,202003
2020/3/31 00:00,账务处理,2,生活必要开支,其他必要家用,平账,202003
2020/3/31 00:00,账务处理,799.31,文娱游购开支,饮食游乐费,平账,202003
2020/3/31 00:00,账务处理,564.96,文娱游购开支,日常购物费,平账,202003
2020/3/31 00:00,账务处理,336.5344809,财务费用开支,金融利息支出,平账,202003
2020/3/31 00:00,账务处理,68,投资自身开支,教育费,平账,202003
2020/4/30 00:00,账务处理,2503.1,其他收入,父母资助,平账,202004
2020/4/30 00:00,账务处理,0,生活必要开支,伙食费,平账,202004
2020/4/30 00:00,账务处理,222,生活必要开支,其他必要家用,平账,202004
